DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,2006,69,44,63.80%,23,33.30%,52.30%,0,0%,0%,23,33.30%,52.30%,21,30.40%,47.70%,10,14.50%,10,14.50%
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,2006 Aug,69,48,69.60%,23,33.30%,47.90%,0,0%,0%,23,33.30%,47.90%,25,36.20%,52.10%,6,8.70%,10,14.50%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2001,103,81,78.60%,59,57.30%,72.80%,15,14.60%,18.50%,44,42.70%,54.30%,22,21.40%,27.20%,22,21.40%,0,0%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2002,88,71,80.70%,54,61.40%,76.10%,23,26.10%,32.40%,31,35.20%,43.70%,17,19.30%,23.90%,16,18.20%,1,1.10%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2003,95,76,80%,58,61.10%,76.30%,33,34.70%,43.40%,25,26.30%,32.90%,18,18.90%,23.70%,16,16.80%,3,3.20%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2004,107,91,85%,73,68.20%,80.20%,48,44.90%,52.70%,25,23.40%,27.50%,18,16.80%,19.80%,13,12.10%,3,2.80%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2005,82,64,78%,52,63.40%,81.30%,22,26.80%,34.40%,30,36.60%,46.90%,12,14.60%,18.80%,15,18.30%,2,2.40%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2006,61,51,83.60%,49,80.30%,96.10%,25,41%,49%,24,39.30%,47.10%,2,3.30%,3.90%,9,14.80%,1,1.60%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2006 Aug,61,58,95.10%,54,88.50%,93.10%,25,41%,43.10%,29,47.50%,50%,4,6.60%,6.90%,2,3.30%,1,1.60%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,2001,71,56,78.90%,38,53.50%,67.90%,1,1.40%,1.80%,37,52.10%,66.10%,18,25.40%,32.10%,12,16.90%,2,2.80%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,2002,66,52,78.80%,38,57.60%,73.10%,9,13.60%,17.30%,29,43.90%,55.80%,14,21.20%,26.90%,7,10.60%,6,9.10%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,2004,96,62,64.60%,41,42.70%,66.10%,3,3.10%,4.80%,38,39.60%,61.30%,21,21.90%,33.90%,16,16.70%,10,10.40%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,2005,104,63,60.60%,51,49%,81%,1,1%,1.60%,50,48.10%,79.40%,12,11.50%,19%,22,21.20%,10,9.60%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,2006,136,82,60.30%,59,43.40%,72%,14,10.30%,17.10%,45,33.10%,54.90%,23,16.90%,28%,25,18.40%,10,7.40%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,2006 Aug,136,87,64%,60,44.10%,69%,14,10.30%,16.10%,46,33.80%,52.90%,27,19.90%,31%,20,14.70%,10,7.40%
07X527,BRONX LEADERSHIP ACADEMY II HS,2002,52,0,0%,0,0%,.,0,0%,.,0,0%,.,0,0%,.,51,98.10%,0,0%
07X527,BRONX LEADERSHIP ACADEMY II HS,2003,57,44,77.20%,26,45.60%,59.10%,3,5.30%,6.80%,23,40.40%,52.30%,18,31.60%,40.90%,10,17.50%,2,3.50%
07X527,BRONX LEADERSHIP ACADEMY II HS,2004,99,70,70.70%,49,49.50%,70%,9,9.10%,12.90%,40,40.40%,57.10%,21,21.20%,30%,20,20.20%,7,7.10%
07X527,BRONX LEADERSHIP ACADEMY II HS,2005,71,53,74.60%,29,40.80%,54.70%,3,4.20%,5.70%,26,36.60%,49.10%,24,33.80%,45.30%,7,9.90%,5,7%
07X527,BRONX LEADERSHIP ACADEMY II HS,2006,102,74,72.50%,56,54.90%,75.70%,7,6.90%,9.50%,49,48%,66.20%,18,17.60%,24.30%,2,2%,15,14.70%
07X527,BRONX LEADERSHIP ACADEMY II HS,2006 Aug,102,74,72.50%,56,54.90%,75.70%,7,6.90%,9.50%,49,48%,66.20%,18,17.60%,24.30%,2,2%,15,14.70%
07X547,NEW EXPLORERS HIGH SCHOOL,2001,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
07X547,NEW EXPLORERS HIGH SCHOOL,2002,77,53,68.80%,14,18.20%,26.40%,0,0%,0%,14,18.20%,26.40%,39,50.60%,73.60%,8,10.40%,6,7.80%
07X547,NEW EXPLORERS HIGH SCHOOL,2003,73,44,60.30%,6,8.20%,13.60%,0,0%,0%,6,8.20%,13.60%,38,52.10%,86.40%,9,12.30%,6,8.20%
07X547,NEW EXPLORERS HIGH SCHOOL,2004,79,43,54.40%,10,12.70%,23.30%,0,0%,0%,10,12.70%,23.30%,33,41.80%,76.70%,19,24.10%,8,10.10%
07X547,NEW EXPLORERS HIGH SCHOOL,2005,72,51,70.80%,26,36.10%,51%,1,1.40%,2%,25,34.70%,49%,25,34.70%,49%,8,11.10%,9,12.50%
07X547,NEW EXPLORERS HIGH SCHOOL,2006,81,36,44.40%,18,22.20%,50%,0,0%,0%,18,22.20%,50%,18,22.20%,50%,22,27.20%,14,17.30%
07X547,NEW EXPLORERS HIGH SCHOOL,2006 Aug,81,45,55.60%,22,27.20%,48.90%,0,0%,0%,22,27.20%,48.90%,23,28.40%,51.10%,13,16%,14,17.30%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,2001,70,61,87.10%,17,24.30%,27.90%,0,0%,0%,17,24.30%,27.90%,44,62.90%,72.10%,4,5.70%,0,0%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,2002,81,57,70.40%,34,42%,59.60%,4,4.90%,7%,30,37%,52.60%,23,28.40%,40.40%,10,12.30%,1,1.20%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,2003,76,62,81.60%,34,44.70%,54.80%,7,9.20%,11.30%,27,35.50%,43.50%,28,36.80%,45.20%,12,15.80%,1,1.30%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,2004,70,65,92.90%,33,47.10%,50.80%,4,5.70%,6.20%,29,41.40%,44.60%,32,45.70%,49.20%,4,5.70%,1,1.40%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,2005,72,59,81.90%,47,65.30%,79.70%,8,11.10%,13.60%,39,54.20%,66.10%,12,16.70%,20.30%,10,13.90%,1,1.40%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,2006,82,65,79.30%,50,61%,76.90%,3,3.70%,4.60%,47,57.30%,72.30%,15,18.30%,23.10%,12,14.60%,5,6.10%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,2006 Aug,82,73,89%,56,68.30%,76.70%,3,3.70%,4.10%,53,64.60%,72.60%,17,20.70%,23.30%,4,4.90%,5,6.10%
07X551,BRONX ACADEMY OF LETTERS,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
07X551,BRONX ACADEMY OF LETTERS,2003,64,57,89.10%,42,65.60%,73.70%,6,9.40%,10.50%,36,56.30%,63.20%,15,23.40%,26.30%,4,6.30%,2,3.10%
07X551,BRONX ACADEMY OF LETTERS,2004,66,53,80.30%,48,72.70%,90.60%,3,4.50%,5.70%,45,68.20%,84.90%,5,7.60%,9.40%,11,16.70%,2,3%
07X551,BRONX ACADEMY OF LETTERS,2005,69,61,88.40%,55,79.70%,90.20%,17,24.60%,27.90%,38,55.10%,62.30%,6,8.70%,9.80%,6,8.70%,1,1.40%
07X551,BRONX ACADEMY OF LETTERS,2006,76,56,73.70%,48,63.20%,85.70%,4,5.30%,7.10%,44,57.90%,78.60%,8,10.50%,14.30%,11,14.50%,5,6.60%
07X551,BRONX ACADEMY OF LETTERS,2006 Aug,76,58,76.30%,50,65.80%,86.20%,4,5.30%,6.90%,46,60.50%,79.30%,8,10.50%,13.80%,9,11.80%,5,6.60%
07X600,ALFRED E. SMITH CAREER AND TECHNICAL,2001,253,101,39.90%,44,17.40%,43.60%,2,0.80%,2%,42,16.60%,41.60%,57,22.50%,56.40%,69,27.30%,72,28.50%
07X600,ALFRED E. SMITH CAREER AND TECHNICAL,2002,239,111,46.40%,47,19.70%,42.30%,7,2.90%,6.30%,40,16.70%,36%,64,26.80%,57.70%,54,22.60%,70,29.30%
07X600,ALFRED E. SMITH CAREER AND TECHNICAL,2003,215,90,41.90%,45,20.90%,50%,35,16.30%,38.90%,10,4.70%,11.10%,45,20.90%,50%,71,33%,50,23.30%
07X600,ALFRED E. SMITH CAREER AND TECHNICAL,2004,249,83,33.30%,57,22.90%,68.70%,37,14.90%,44.60%,20,8%,24.10%,26,10.40%,31.30%,75,30.10%,88,35.30%
07X600,ALFRED E. SMITH CAREER AND TECHNICAL,2005,271,114,42.10%,71,26.20%,62.30%,50,18.50%,43.90%,21,7.70%,18.40%,43,15.90%,37.70%,69,25.50%,70,25.80%
07X600,ALFRED E. SMITH CAREER AND TECHNICAL,2006,267,109,40.80%,54,20.20%,49.50%,4,1.50%,3.70%,50,18.70%,45.90%,55,20.60%,50.50%,94,35.20%,48,18%
07X600,ALFRED E. SMITH CAREER AND TECHNICAL,2006 Aug,267,118,44.20%,56,21%,47.50%,4,1.50%,3.40%,52,19.50%,44.10%,62,23.20%,52.50%,85,31.80%,48,18%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,2001,290,152,52.40%,86,29.70%,56.60%,1,0.30%,0.70%,85,29.30%,55.90%,67,23.10%,44.10%,54,18.60%,55,19%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,2002,261,131,50.20%,101,38.70%,77.10%,3,1.10%,2.30%,98,37.50%,74.80%,30,11.50%,22.90%,50,19.20%,57,21.80%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,2003,317,155,48.90%,89,28.10%,57.40%,12,3.80%,7.70%,77,24.30%,49.70%,66,20.80%,42.60%,65,20.50%,69,21.80%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,2004,313,153,48.90%,112,35.80%,73.20%,10,3.20%,6.50%,102,32.60%,66.70%,41,13.10%,26.80%,81,25.90%,53,16.90%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,2005,349,144,41.30%,98,28.10%,68.10%,3,0.90%,2.10%,95,27.20%,66%,46,13.20%,31.90%,115,33%,58,16.60%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,2006,357,173,48.50%,102,28.60%,59%,12,3.40%,6.90%,90,25.20%,52%,71,19.90%,41%,66,18.50%,77,21.60%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,2006 Aug,357,182,51%,103,28.90%,56.60%,12,3.40%,6.60%,91,25.50%,50%,79,22.10%,43.40%,57,16%,77,21.60%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2001,108,73,67.60%,45,41.70%,61.60%,8,7.40%,11%,37,34.30%,50.70%,28,25.90%,38.40%,29,26.90%,3,2.80%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2002,122,84,68.90%,50,41%,59.50%,6,4.90%,7.10%,44,36.10%,52.40%,34,27.90%,40.50%,27,22.10%,7,5.70%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2003,130,69,53.10%,50,38.50%,72.50%,5,3.80%,7.20%,45,34.60%,65.20%,19,14.60%,27.50%,32,24.60%,28,21.50%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2004,137,78,56.90%,48,35%,61.50%,8,5.80%,10.30%,40,29.20%,51.30%,30,21.90%,38.50%,38,27.70%,20,14.60%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2005,126,84,66.70%,59,46.80%,70.20%,10,7.90%,11.90%,49,38.90%,58.30%,25,19.80%,29.80%,23,18.30%,11,8.70%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2006,134,93,69.40%,76,56.70%,81.70%,10,7.50%,10.80%,66,49.30%,71%,17,12.70%,18.30%,11,8.20%,25,18.70%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2006 Aug,134,97,72.40%,79,59%,81.40%,11,8.20%,11.30%,68,50.70%,70.10%,18,13.40%,18.60%,7,5.20%,25,18.70%
08X282,WOMEN'S ACADEMY OF EXCELLENCE,2001,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X282,WOMEN'S ACADEMY OF EXCELLENCE,2003,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X282,WOMEN'S ACADEMY OF EXCELLENCE,2006,75,50,66.70%,49,65.30%,98%,8,10.70%,16%,41,54.70%,82%,1,1.30%,2%,12,16%,12,16%
08X282,WOMEN'S ACADEMY OF EXCELLENCE,2006 Aug,75,58,77.30%,57,76%,98.30%,8,10.70%,13.80%,49,65.30%,84.50%,1,1.30%,1.70%,5,6.70%,11,14.70%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,2001,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,2002,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,2003,41,29,70.70%,17,41.50%,58.60%,2,4.90%,6.90%,15,36.60%,51.70%,12,29.30%,41.40%,9,22%,3,7.30%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,2004,95,67,70.50%,57,60%,85.10%,4,4.20%,6%,53,55.80%,79.10%,10,10.50%,14.90%,18,18.90%,10,10.50%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,2005,95,66,69.50%,49,51.60%,74.20%,3,3.20%,4.50%,46,48.40%,69.70%,17,17.90%,25.80%,15,15.80%,9,9.50%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,2006,117,77,65.80%,58,49.60%,75.30%,4,3.40%,5.20%,54,46.20%,70.10%,19,16.20%,24.70%,20,17.10%,16,13.70%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,2006 Aug,117,82,70.10%,62,53%,75.60%,4,3.40%,4.90%,58,49.60%,70.70%,20,17.10%,24.40%,16,13.70%,15,12.80%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,2001,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,2003,58,37,63.80%,23,39.70%,62.20%,9,15.50%,24.30%,14,24.10%,37.80%,14,24.10%,37.80%,17,29.30%,0,0%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,2004,87,59,67.80%,31,35.60%,52.50%,2,2.30%,3.40%,29,33.30%,49.20%,28,32.20%,47.50%,17,19.50%,11,12.60%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,2005,88,36,40.90%,33,37.50%,91.70%,0,0%,0%,33,37.50%,91.70%,3,3.40%,8.30%,33,37.50%,11,12.50%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,2006,121,49,40.50%,23,19%,46.90%,5,4.10%,10.20%,18,14.90%,36.70%,26,21.50%,53.10%,45,37.20%,16,13.20%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,2006 Aug,121,55,45.50%,23,19%,41.80%,5,4.10%,9.10%,18,14.90%,32.70%,32,26.40%,58.20%,39,32.20%,16,13.20%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,2001,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,2002,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,2003,53,24,45.30%,9,17%,37.50%,0,0%,0%,9,17%,37.50%,15,28.30%,62.50%,15,28.30%,14,26.40%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,2004,76,44,57.90%,14,18.40%,31.80%,0,0%,0%,14,18.40%,31.80%,30,39.50%,68.20%,20,26.30%,12,15.80%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,2005,118,59,50%,24,20.30%,40.70%,0,0%,0%,24,20.30%,40.70%,35,29.70%,59.30%,24,20.30%,29,24.60%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,2006,101,57,56.40%,33,32.70%,57.90%,0,0%,0%,33,32.70%,57.90%,24,23.80%,42.10%,21,20.80%,18,17.80%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,2006 Aug,101,58,57.40%,33,32.70%,56.90%,0,0%,0%,33,32.70%,56.90%,25,24.80%,43.10%,20,19.80%,18,17.80%
08X312,MILLENNIUM ART ACADEMY,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X312,MILLENNIUM ART ACADEMY,2003,43,36,83.70%,15,34.90%,41.70%,0,0%,0%,15,34.90%,41.70%,21,48.80%,58.30%,5,11.60%,1,2.30%
08X312,MILLENNIUM ART ACADEMY,2004,94,59,62.80%,31,33%,52.50%,0,0%,0%,31,33%,52.50%,28,29.80%,47.50%,29,30.90%,6,6.40%
08X312,MILLENNIUM ART ACADEMY,2005,102,61,59.80%,41,40.20%,67.20%,2,2%,3.30%,39,38.20%,63.90%,20,19.60%,32.80%,33,32.40%,7,6.90%
08X312,MILLENNIUM ART ACADEMY,2006,108,63,58.30%,44,40.70%,69.80%,4,3.70%,6.30%,40,37%,63.50%,19,17.60%,30.20%,33,30.60%,10,9.30%
08X312,MILLENNIUM ART ACADEMY,2006 Aug,108,68,63%,44,40.70%,64.70%,4,3.70%,5.90%,40,37%,58.80%,24,22.20%,35.30%,28,25.90%,10,9.30%
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,2003,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,2005,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,2006,89,51,57.30%,36,40.40%,70.60%,0,0%,0%,36,40.40%,70.60%,15,16.90%,29.40%,25,28.10%,13,14.60%
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,2006 Aug,89,51,57.30%,36,40.40%,70.60%,0,0%,0%,36,40.40%,70.60%,15,16.90%,29.40%,25,28.10%,13,14.60%
08X377,BRONX COMMUNITY HIGH SCHOOL,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X377,BRONX COMMUNITY HIGH SCHOOL,2003,16,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X377,BRONX COMMUNITY HIGH SCHOOL,2004,29,2,6.90%,0,0%,0%,0,0%,0%,0,0%,0%,2,6.90%,100%,26,89.70%,1,3.40%
08X377,BRONX COMMUNITY HIGH SCHOOL,2005,98,5,5.10%,2,2%,40%,0,0%,0%,2,2%,40%,3,3.10%,60%,77,78.60%,13,13.30%
08X377,BRONX COMMUNITY HIGH SCHOOL,2006,79,10,12.70%,1,1.30%,10%,0,0%,0%,1,1.30%,10%,9,11.40%,90%,48,60.80%,19,24.10%
08X377,BRONX COMMUNITY HIGH SCHOOL,2006 Aug,79,12,15.20%,1,1.30%,8.30%,0,0%,0%,1,1.30%,8.30%,11,13.90%,91.70%,46,58.20%,19,24.10%
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2001,922,511,55.40%,299,32.40%,58.50%,88,9.50%,17.20%,211,22.90%,41.30%,212,23%,41.50%,261,28.30%,124,13.40%
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2002,910,429,47.10%,282,31%,65.70%,76,8.40%,17.70%,206,22.60%,48%,147,16.20%,34.30%,337,37%,115,12.60%
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2003,890,413,46.40%,273,30.70%,66.10%,97,10.90%,23.50%,176,19.80%,42.60%,140,15.70%,33.90%,301,33.80%,152,17.10%
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2004,1059,453,42.80%,299,28.20%,66%,132,12.50%,29.10%,167,15.80%,36.90%,154,14.50%,34%,381,36%,205,19.40%
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2005,1007,458,45.50%,340,33.80%,74.20%,122,12.10%,26.60%,218,21.60%,47.60%,118,11.70%,25.80%,326,32.40%,146,14.50%
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2006,1092,487,44.60%,386,35.30%,79.30%,137,12.50%,28.10%,249,22.80%,51.10%,101,9.20%,20.70%,337,30.90%,232,21.20%
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2006 Aug,1092,565,51.70%,423,38.70%,74.90%,140,12.80%,24.80%,283,25.90%,50.10%,142,13%,25.10%,265,24.30%,226,20.70%
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2001,656,195,29.70%,92,14%,47.20%,0,0%,0%,92,14%,47.20%,103,15.70%,52.80%,264,40.20%,166,25.30%
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2002,623,185,29.70%,93,14.90%,50.30%,0,0%,0%,93,14.90%,50.30%,92,14.80%,49.70%,266,42.70%,132,21.20%
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2003,612,177,28.90%,71,11.60%,40.10%,0,0%,0%,71,11.60%,40.10%,106,17.30%,59.90%,241,39.40%,167,27.30%
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2004,357,77,21.60%,29,8.10%,37.70%,0,0%,0%,29,8.10%,37.70%,48,13.40%,62.30%,141,39.50%,122,34.20%
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2005,263,87,33.10%,38,14.40%,43.70%,6,2.30%,6.90%,32,12.20%,36.80%,49,18.60%,56.30%,54,20.50%,98,37.30%
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2006,7,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2006 Aug,7,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X452,BRONX GUILD,2001,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X452,BRONX GUILD,2002,80,44,55%,0,0%,0%,0,0%,0%,0,0%,0%,44,55%,100%,30,37.50%,1,1.30%
08X452,BRONX GUILD,2003,62,30,48.40%,0,0%,0%,0,0%,0%,0,0%,0%,30,48.40%,100%,23,37.10%,7,11.30%
08X452,BRONX GUILD,2004,81,47,58%,9,11.10%,19.10%,0,0%,0%,9,11.10%,19.10%,38,46.90%,80.90%,25,30.90%,7,8.60%
08X452,BRONX GUILD,2005,43,23,53.50%,3,7%,13%,0,0%,0%,3,7%,13%,20,46.50%,87%,10,23.30%,7,16.30%
08X452,BRONX GUILD,2006,64,40,62.50%,0,0%,0%,0,0%,0%,0,0%,0%,40,62.50%,100%,17,26.60%,4,6.30%
08X452,BRONX GUILD,2006 Aug,64,42,65.60%,0,0%,0%,0,0%,0%,0,0%,0%,42,65.60%,100%,15,23.40%,4,6.30%
08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,2003,9,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,2004,102,46,45.10%,22,21.60%,47.80%,0,0%,0%,22,21.60%,47.80%,24,23.50%,52.20%,35,34.30%,20,19.60%
08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,2005,95,52,54.70%,30,31.60%,57.70%,0,0%,0%,30,31.60%,57.70%,22,23.20%,42.30%,33,34.70%,10,10.50%
08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,2006,99,52,52.50%,31,31.30%,59.60%,0,0%,0%,31,31.30%,59.60%,21,21.20%,40.40%,26,26.30%,17,17.20%
08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,2006 Aug,99,61,61.60%,35,35.40%,57.40%,0,0%,0%,35,35.40%,57.40%,26,26.30%,42.60%,17,17.20%,17,17.20%
08X530,BANANA KELLY HIGH SCHOOL,2001,47,40,85.10%,14,29.80%,35%,0,0%,0%,14,29.80%,35%,26,55.30%,65%,6,12.80%,1,2.10%
08X530,BANANA KELLY HIGH SCHOOL,2002,37,23,62.20%,10,27%,43.50%,0,0%,0%,10,27%,43.50%,13,35.10%,56.50%,8,21.60%,1,2.70%
08X530,BANANA KELLY HIGH SCHOOL,2003,65,29,44.60%,19,29.20%,65.50%,0,0%,0%,19,29.20%,65.50%,10,15.40%,34.50%,22,33.80%,9,13.80%
08X530,BANANA KELLY HIGH SCHOOL,2004,82,30,36.60%,12,14.60%,40%,0,0%,0%,12,14.60%,40%,18,22%,60%,34,41.50%,18,22%
08X530,BANANA KELLY HIGH SCHOOL,2005,114,59,51.80%,33,28.90%,55.90%,0,0%,0%,33,28.90%,55.90%,26,22.80%,44.10%,34,29.80%,14,12.30%
08X530,BANANA KELLY HIGH SCHOOL,2006,108,45,41.70%,27,25%,60%,3,2.80%,6.70%,24,22.20%,53.30%,18,16.70%,40%,29,26.90%,25,23.10%
08X530,BANANA KELLY HIGH SCHOOL,2006 Aug,108,50,46.30%,30,27.80%,60%,3,2.80%,6%,27,25%,54%,20,18.50%,40%,25,23.10%,24,22.20%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,2001,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,2002,13,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,2003,56,25,44.60%,10,17.90%,40%,0,0%,0%,10,17.90%,40%,15,26.80%,60%,15,26.80%,10,17.90%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,2004,89,36,40.40%,13,14.60%,36.10%,1,1.10%,2.80%,12,13.50%,33.30%,23,25.80%,63.90%,32,36%,13,14.60%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,2005,106,45,42.50%,19,17.90%,42.20%,1,0.90%,2.20%,18,17%,40%,26,24.50%,57.80%,37,34.90%,14,13.20%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,2006,89,44,49.40%,23,25.80%,52.30%,1,1.10%,2.30%,22,24.70%,50%,21,23.60%,47.70%,28,31.50%,14,15.70%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,2006 Aug,89,48,53.90%,24,27%,50%,1,1.10%,2.10%,23,25.80%,47.90%,24,27%,50%,24,27%,14,15.70%
08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH,2001,162,20,12.30%,2,1.20%,10%,0,0%,0%,2,1.20%,10%,18,11.10%,90%,129,79.60%,13,8%
